slug,titulo,origem,status,responsavel,conteudo,imagens,data
inicio,Início,2025,,,,,
programacao,Programação,2025,,,,,
palestrantes,Palestrantes,2025,,,,,
patrocinadores,Patrocinadores,2025,,,,,
local,Local,2025,,,,,
organizacao,Organização,2025,,,,,
ingressos,Ingressos,2025,,,,,
participantes,Participantes,2025,,,,,
contato,Contato,2025,,,,,
codigo-conduta,Código de Conduta,2025,,,,,
noticias,Notícias,2025,,,,,
seja-patrocinador,Seja um Patrocinador,2025,,,,,
wordcamp-o-evento,WordCamp: o Evento,2025,,,,,
privacidade,Política de Privacidade,2025,,,,,
videos,Vídeos,scaffold-2026,,,,,
slideshow,Slideshow,scaffold-2026,,,,,
day-of-event,Dia do Evento,scaffold-2026,,,,,
feedback,Feedback,scaffold-2026,,,,,
sample-page,Sample Page (excluir),scaffold-2026,,,,,
