slug,titulo,tipo,origem,status,responsavel,conteudo,imagens,data
welcome-to-wordcamp-brasil-2026,Boas-vindas ao WordCamp Brasil 2026,institucional,scaffold-2026,,,,,
call-for-sponsors,Chamada de Patrocinadores,institucional,scaffold-2026,,,,,
call-for-speakers,Chamada de Palestrantes,institucional,scaffold-2026,,,,,
call-for-volunteers,Chamada de Voluntários,institucional,scaffold-2026,,,,,
thank-you-to-our-gold-sponsors,Agradecimento aos Patrocinadores Ouro,institucional,scaffold-2026,,,,,
hello-world,Hello World (excluir - post padrão do WP),excluir,scaffold-2026,,,,,
evento-confirmado,Evento Confirmado,institucional,2025,,,,,
dia-do-colaborador-no-wordcamp,Dia do Colaborador no WordCamp,institucional,2025,,,,,
especial-pre-wordcamp,Especial Pré-WordCamp (parceria com comunidade local),institucional,2025,,,,,
guia-local,Guia Local da Cidade-sede,guia-local,2025,,,,,
o-que-fazer-antes-e-depois-do-wordcamp,O que Fazer Antes e Depois do WordCamp,guia-local,2025,,,,,
conteudo-das-palestras,Conteúdo das Palestras do WordCamp Brasil 2026,pos-evento,2025,,,,,
patrocinador-individual-por-confirmacao,Post individual por patrocinador confirmado (1 por patrocinador),patrocinador,2025,,,,,
