pais,codigo_pais,cidade,ano,data_inicio,data_fim,publico_previsto,capacidade_max,virtual,titulo,url,slug
Argentina,AR,Buenos Aires,2007,2007-10-31,,,,não,WordCamp Argentina,https://central.wordcamp.org/wordcamps/argentina-2007/,argentina-2007
Argentina,AR,Buenos Aires,2008,2008-11-08,,,,não,WordCamp Argentina,http://argentina.wordcamp.org,argentina-2008
Argentina,AR,Buenos Aires,2010,2010-05-08,,,,não,WordCamp Argentina,http://argentina.wordcamp.org/,argentina-2010
Argentina,AR,San Nicolas,2015,2015-05-30,,300,400,não,WordCamp Buenos Aires,https://buenosaires.wordcamp.org/2015/,wordcamp-buenos-aires
Argentina,AR,Buenos Aires,2017,2017-07-08,,,,não,WordCamp Buenos Aires,https://buenosaires.wordcamp.org/2017/,wordcamp-buenos-aires-2017
Bolívia,BO,Cochabamba,2025,2025-03-15,2025-03-15,30,,não,"Celebración del liderazgo de las mujeres en Tecnología y WordPress &#8211; Cochabamba, Bolivia",https://events.wordpress.org/cochabamba/2025/WomensDay/,womens-day-cochabamba-2025
Brasil,BR,São Paulo,2009,2009-06-21,,,,não,WordCamp Brazil,http://www.wordpress-br.com/wordcamp-brasil,brazil-2009
Brasil,BR,Curitiba,2010,2010-10-22,2010-10-23,,,não,WordCamp Curitiba,http://curitiba.wordcamp.com.br/,curitiba-2010
Brasil,BR,Curitiba,2012,2012-06-15,2012-06-16,,,não,WordCamp Curitiba,https://curitiba.wordcamp.org/2012/,wordcamp-curitiba
Brasil,BR,Sao Paulo,2012,2012-08-25,,,,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2012/,wordcamp-sao-paulo
Brasil,BR,Porto Alegre,2013,2013-07-13,,,,não,WordCamp Porto Alegre,https://portoalegre.wordcamp.org/2013/,wordcamp-porto-alegre
Brasil,BR,Sao Paulo,2013,2013-11-23,,,,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2013/,wordcamp-sao-paulo-2
Brasil,BR,Belo Horizonte,2014,2014-05-17,,,,não,WordCamp Belo Horizonte,https://belohorizonte.wordcamp.org/2014/,wordcamp-belo-horizonte
Brasil,BR,Rio De Janeiro,2014,2014-09-20,,250,240,não,WordCamp Rio de Janeiro,https://riodejaneiro.wordcamp.org/2014/,wordcamp-rio-de-janeiro
Brasil,BR,Salvador,2014,2014-12-06,,240,,não,WordCamp Salvador,https://salvador.wordcamp.org/2014/,wordcamp-salvador
Brasil,BR,Sao Paulo,2014,2014-10-18,,200,,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2014/,wordcamp-sao-paulo-3
Brasil,BR,Belo Horizonte,2015,2015-06-13,,567,600,não,WordCamp Belo Horizonte,https://belohorizonte.wordcamp.org/2015/,wordcamp-belo-horizonte-2
Brasil,BR,Porto Alegre,2015,2015-10-31,,100,100,não,WordCamp Porto Alegre,https://portoalegre.wordcamp.org/2015/,wordcamp-porto-alegre-2
